gbifID,occurrenceID,species,decimalLatitude,decimalLongitude,doy,image_path,file_exists
4420921807,https://www.inaturalist.org/observations/183778655,Cenchrus setaceus,34.117147,-117.227225,287,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Cenchrus_setaceus/4420921807.jpg,True
4430517410,https://www.inaturalist.org/observations/185507251,Cortaderia selloana,37.939358,-122.529053,299,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Cortaderia_selloana/4430517410.jpg,True
4875585751,https://www.inaturalist.org/observations/218243476,Daucus pusillus,38.741772,-121.148106,175,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Daucus_pusillus/4875585751.jpg,True
5932691749,https://www.inaturalist.org/observations/237871850,Arundo donax,37.174501,-121.845492,264,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Arundo_donax/5932691749.jpg,True
4952296549,https://www.inaturalist.org/observations/246332285,Leymus condensatus,34.25607,-118.618698,308,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Leymus_condensatus/4952296549.jpg,True
4413634570,https://www.inaturalist.org/observations/167989492,Cenchrus setaceus,32.684919,-117.185838,197,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Cenchrus_setaceus/4413634570.jpg,True
4129689449,https://www.inaturalist.org/observations/163912440,Briza minor,37.093846,-121.721844,176,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Briza_minor/4129689449.jpg,True
3743091255,https://www.inaturalist.org/observations/108767902,Matricaria discoidea,37.63148,-122.001583,106,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Matricaria_discoidea/3743091255.jpg,True
3888866736,https://www.inaturalist.org/observations/129315416,Cirsium vulgare,38.843121,-121.281184,243,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Cirsium_vulgare/3888866736.jpg,True
3759266365,https://www.inaturalist.org/observations/110816441,Cynosurus echinatus,37.144806,-121.796914,128,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Cynosurus_echinatus/3759266365.jpg,True
4424424362,https://www.inaturalist.org/observations/116040424,Daucus pusillus,32.822569,-116.761969,149,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Daucus_pusillus/4424424362.jpg,True
3888890934,https://www.inaturalist.org/observations/129424394,Isocoma menziesii,35.26879,-120.893869,243,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Isocoma_menziesii/3888890934.jpg,True
4597461606,https://www.inaturalist.org/observations/202349054,Sanicula crassicaulis,32.928384,-117.170294,103,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Sanicula_crassicaulis/4597461606.jpg,True
4945844755,https://www.inaturalist.org/observations/231036657,Centaurea solstitialis,37.574966,-122.006582,232,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Centaurea_solstitialis/4945844755.jpg,True
3963400504,https://www.inaturalist.org/observations/127182342,Dittrichia graveolens,33.209075,-117.325928,230,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Dittrichia_graveolens/3963400504.jpg,True
3466081719,https://www.inaturalist.org/observations/105481448,Sanicula crassicaulis,34.460297,-119.6911,53,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Sanicula_crassicaulis/3466081719.jpg,True
4062695699,https://www.inaturalist.org/observations/150587257,Conium maculatum,36.506177,-121.763668,98,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Conium_maculatum/4062695699.jpg,True
5828090786,https://www.inaturalist.org/observations/160695396,Briza minor,39.786885,-121.752815,158,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Briza_minor/5828090786.jpg,True
4440831168,https://www.inaturalist.org/observations/190848243,Isocoma menziesii,34.313497,-118.515306,342,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Isocoma_menziesii/4440831168.jpg,True
4978608716,https://www.inaturalist.org/observations/234599972,Cynosurus echinatus,38.02137,-120.322909,248,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Cynosurus_echinatus/4978608716.jpg,True
5007758748,https://www.inaturalist.org/observations/156877955,Sanicula crassicaulis,37.836217,-121.777763,143,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Sanicula_crassicaulis/5007758748.jpg,True
4121000433,https://www.inaturalist.org/observations/142892082,Cenchrus setaceus,34.473797,-120.139733,355,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Cenchrus_setaceus/4121000433.jpg,True
4987818692,https://www.inaturalist.org/observations/253110110,Leymus condensatus,33.772167,-118.347528,355,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Leymus_condensatus/4987818692.jpg,True
3705391590,https://www.inaturalist.org/observations/107677856,Matricaria discoidea,39.759174,-121.816405,82,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Matricaria_discoidea/3705391590.jpg,True
4852178325,https://www.inaturalist.org/observations/208406480,Sanicula bipinnatifida,36.368697,-120.754644,139,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Sanicula_bipinnatifida/4852178325.jpg,True
4039183204,https://www.inaturalist.org/observations/148921534,Cenchrus setaceus,34.096419,-116.156305,76,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Cenchrus_setaceus/4039183204.jpg,True
5938202817,https://www.inaturalist.org/observations/228582602,Polypogon monspeliensis,34.299967,-118.681634,220,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Polypogon_monspeliensis/5938202817.jpg,True
4952812207,https://www.inaturalist.org/observations/246105563,Cortaderia selloana,32.936783,-117.144134,305,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Cortaderia_selloana/4952812207.jpg,True
3705418986,https://www.inaturalist.org/observations/107654731,Bromus rubens,33.418462,-116.742705,88,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Bromus_rubens/3705418986.jpg,True
4952293523,https://www.inaturalist.org/observations/244369564,Dittrichia graveolens,37.968154,-122.268487,296,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Dittrichia_graveolens/4952293523.jpg,True
4901627968,https://www.inaturalist.org/observations/222896079,Arundo donax,33.768433,-117.715385,195,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Arundo_donax/4901627968.jpg,True
5830551311,https://www.inaturalist.org/observations/254132605,Baccharis pilularis,37.329207,-121.711746,363,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Baccharis_pilularis/5830551311.jpg,True
4120880127,https://www.inaturalist.org/observations/163129969,Polypogon monspeliensis,32.832938,-117.0951,172,/Users/wenchuzhang/Documents/Graduate/Harvard/CS 109B/Project/Canopy/data/images/Polypogon_monspeliensis/4120880127.jpg,True
