gbifID,occurrenceID,species,decimalLatitude,decimalLongitude,doy,image_path,file_exists,split_iid,lat_sin,lat_cos,lon_sin,lon_cos,doy_sin,doy_cos,label_species
5166817590,https://www.inaturalist.org/observations/200864226,Bromus rubens,33.598145,-117.76255,89,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Bromus_rubens/5166817590.jpg,True,train,0.9218380573570227,0.3875752778599667,-0.8848856285782559,-0.4658083558027539,-0.9990791668951153,-0.04290475819955447,12
4945552183,https://www.inaturalist.org/observations/241524291,Centaurea solstitialis,39.48828,-121.882562,283,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Centaurea_solstitialis/4945552183.jpg,True,train,0.9815490403560585,0.19121056816007984,-0.8491324787861585,-0.5281799252815976,0.9893724130196829,-0.14540367380368988,14
4133841801,https://www.inaturalist.org/observations/165230681,Sanicula crassicaulis,41.055678,-124.149876,182,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Sanicula_crassicaulis/4133841801.jpg,True,train,0.9905366852356532,0.1372482247694469,-0.8275719844651462,-0.561359608921429,-0.01716632975470737,0.9998526477050269,40
4145438206,https://www.inaturalist.org/observations/170748311,Daucus carota,40.946515,-124.10062,212,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Daucus_carota/4145438206.jpg,True,train,0.990006509833914,0.1410216667270397,-0.828054267876264,-0.5606479550055493,0.47753588643748823,0.8786122450571483,20
3988626971,https://www.inaturalist.org/observations/143537034,Arundo donax,33.969371,-117.436306,362,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Arundo_donax/3988626971.jpg,True,train,0.926782812655619,0.3755976812576719,-0.887523597071257,-0.46076226477620436,0.0686147380021341,-0.9976432316860063,6
5133396140,https://www.inaturalist.org/observations/196708145,Torilis arvensis,33.828208,-117.602956,44,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Torilis_arvensis/5133396140.jpg,True,train,0.9249208043881326,0.38015984218484944,-0.88617967571395,-0.46334175545866624,-0.6855476064742155,-0.7280278011569847,43
4133907368,https://www.inaturalist.org/observations/111531119,Leymus condensatus,34.425231,-119.067373,134,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Leymus_condensatus/4133907368.jpg,True,train,0.9326419324824219,0.36080330621469303,-0.8740490243400861,-0.4858377332506641,-0.7454378568683002,0.6665751282095631,32
5932399503,https://www.inaturalist.org/observations/191027058,Arundo donax,37.328073,-121.86716,344,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Arundo_donax/5932399503.jpg,True,train,0.9643551683841175,0.2646112416562086,-0.8492744311140535,-0.5279516461342845,0.3687629311922603,-0.9295234803804002,6
4606962794,https://www.inaturalist.org/observations/204859658,Sanicula arctopoides,36.645153,-121.754753,121,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Sanicula_arctopoides/4606962794.jpg,True,train,0.957773861972601,0.2875225718480015,-0.850308569730915,-0.526284463234633,-0.8744809578310397,0.4850598461951962,38
4510065504,https://www.inaturalist.org/observations/195251638,Artemisia douglasiana,34.41357,-119.740813,336,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Artemisia_douglasiana/4510065504.jpg,True,train,0.9324949917934683,0.3611829041913521,-0.868278368368635,-0.4960772873485551,0.4925480679538644,-0.8702852410301551,5
4606951498,https://www.inaturalist.org/observations/204351744,Bromus hordeaceus,38.742317,-120.641953,116,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Bromus_hordeaceus/4606951498.jpg,True,train,0.9762379256567353,0.2167014363344981,-0.8603690670190481,-0.509671530023772,-0.9128458599921356,0.40830434224389334,11
4171185698,https://www.inaturalist.org/observations/160484947,Daucus pusillus,32.8686,-117.244883,157,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Daucus_pusillus/4171185698.jpg,True,train,0.9116702653531458,0.410922531958184,-0.8890580299718304,-0.457794516505613,-0.43167285247378373,0.9020302369860708,21
4009919450,https://www.inaturalist.org/observations/117823145,Nassella pulchra,37.876801,-122.567924,141,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Nassella_pulchra/4009919450.jpg,True,train,0.9692463826513443,0.24609236013595354,-0.8427538859984093,-0.5382990689519908,-0.6601521206712317,0.7511319308705199,35
4935823622,https://www.inaturalist.org/observations/237227102,Daucus carota,37.505188,-122.500175,256,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Daucus_carota/4935823622.jpg,True,train,0.9659726813787596,0.2586441161710997,-0.8433898047206857,-0.5373021843368997,0.949989922994501,0.3122805568857947,20
4936720952,https://www.inaturalist.org/observations/149045141,Cortaderia selloana,33.050525,-117.116858,77,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Cortaderia_selloana/4936720952.jpg,True,train,0.9142613796880988,0.40512483213302786,-0.8900787321930889,-0.45580681269321066,-0.9691780654392537,-0.2463612742933147,18
4606997064,https://www.inaturalist.org/observations/205233201,Hordeum murinum,35.301821,-120.653414,123,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Hordeum_murinum/4606997064.jpg,True,train,0.9432437698283047,0.3321011753669175,-0.8602670990967343,-0.5098436213307858,-0.8573146280763322,0.5147928015098309,30
4096446475,https://www.inaturalist.org/observations/116646771,Poa bulbosa,41.620063,-122.832572,137,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Poa_bulbosa/4096446475.jpg,True,train,0.9930481865409236,0.11770853498273978,-0.8402585127195106,-0.5421859752911321,-0.7101350157125358,0.7040655221348057,36
4599866398,https://www.inaturalist.org/observations/203773073,Scandix pecten-veneris,37.470898,-122.283399,114,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Scandix_pecten-veneris/4599866398.jpg,True,train,0.9656624062396467,0.25980014852854766,-0.845416622116345,-0.5341074190173631,-0.9263239682514949,0.3767278936351853,41
4034899582,https://www.inaturalist.org/observations/148707909,Matricaria discoidea,32.834322,-116.993217,70,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Matricaria_discoidea/4034899582.jpg,True,train,0.9111779325776612,0.4120130764714866,-0.8910602639198996,-0.45388501414234755,-0.9326545075388224,-0.3607707992167833,34
3802613775,https://www.inaturalist.org/observations/117945940,Isocoma menziesii,32.67052,-116.968167,170,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Isocoma_menziesii/3802613775.jpg,True,train,0.9088072555743112,0.41721621758446625,-0.8912586195387517,-0.45349539479236023,-0.2213252843824325,0.9752000402445825,31
4607481959,https://www.inaturalist.org/observations/205999889,Sanicula crassicaulis,41.138364,-124.156075,124,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Sanicula_crassicaulis/4607481959.jpg,True,train,0.9909286963978096,0.13438868499742698,-0.8275112444637038,-0.5614491430985822,-0.848351197812304,0.5294338912181852,40
4875444163,https://www.inaturalist.org/observations/218557863,Daucus pusillus,38.694578,-123.0385,175,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Daucus_pusillus/4875444163.jpg,True,train,0.9758754579057364,0.2183279429144819,-0.83830440747581,-0.5452024581810239,-0.13690605792347524,0.990584035457797,21
3759251652,https://www.inaturalist.org/observations/110183807,Cirsium vulgare,34.237801,-118.528391,122,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Cirsium_vulgare/3759251652.jpg,True,train,0.9302614180888947,0.36689738894579027,-0.8785805647763499,-0.4775941699783091,-0.8660254037844386,0.5000000000000001,15
