gbifID,occurrenceID,species,decimalLatitude,decimalLongitude,doy,label_species,image_path
3499604985,https://www.inaturalist.org/observations/106837155,Achillea millefolium,35.337153,-120.809411,75,0,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Achillea_millefolium/3499604985.jpg
3902514877,https://www.inaturalist.org/observations/131417746,Achillea millefolium,39.650803,-120.658164,254,0,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Achillea_millefolium/3902514877.jpg
3859065345,https://www.inaturalist.org/observations/119016233,Achillea millefolium,37.439089,-122.360247,177,0,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Achillea_millefolium/3859065345.jpg
4440916849,https://www.inaturalist.org/observations/190442947,Achillea millefolium,40.786529,-124.097679,338,0,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Achillea_millefolium/4440916849.jpg
3860112650,https://www.inaturalist.org/observations/122764815,Achillea millefolium,34.356561,-117.851273,200,0,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Achillea_millefolium/3860112650.jpg
5198479432,https://www.inaturalist.org/observations/237579465,Achillea millefolium,37.623108,-121.761597,263,0,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Achillea_millefolium/5198479432.jpg
3784840833,https://www.inaturalist.org/observations/117080178,Achillea millefolium,33.619427,-117.905323,164,0,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Achillea_millefolium/3784840833.jpg
4453921862,https://www.inaturalist.org/observations/191880758,Achillea millefolium,37.69958,-122.496978,345,0,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Achillea_millefolium/4453921862.jpg
3888801419,https://www.inaturalist.org/observations/119902403,Achillea millefolium,37.086078,-119.314331,182,0,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Achillea_millefolium/3888801419.jpg
4922011735,https://www.inaturalist.org/observations/233607023,Achillea millefolium,35.288253,-120.881745,243,0,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Achillea_millefolium/4922011735.jpg
4413878898,https://www.inaturalist.org/observations/169022297,Achillea millefolium,34.832703,-119.147626,200,0,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Achillea_millefolium/4413878898.jpg
4901167569,https://www.inaturalist.org/observations/223507660,Achillea millefolium,36.54957,-120.839958,174,0,/Users/nehasajja/Documents/DS26_Final/plant-geopriors/data/images/Achillea_millefolium/4901167569.jpg
